 TITLE = "SURFACE LOCATIONS AND CONTOURS"
 VARIABLES = "X", "Y", "Z", "Cp", "Cf", "Cfx", "Cfy", "Cfz"
DATASETAUXDATA Common.AngleOfAttack="3.0224"
DATASETAUXDATA Common.ReferenceMachNumber="  0.850"
DATASETAUXDATA Common.ReynoldsNumber="     5000000.0"
ZONE T="B0021-S6", I=   23, J=   23, K=1, F=POINT
  7.098913192749023E-003  0.000000000000000E+000  0.601211806414058     
   1.05823380638095       3.274275379028688E-004  1.589948807093472E-004
  1.110873353421834E-004 -2.637973169157115E-004
  4.551949640729232E-002  5.098149646541546E-002  0.613278564810770     
  0.902993408765548       1.637202486443801E-003  1.063033977478077E-003
  1.229121604098984E-003 -1.991251533132990E-004
  8.400826998274280E-002  0.101910430475322       0.622196625890224     
  0.791396315824932       2.983010760022671E-003  1.939735002793577E-003
  2.262102575498817E-003 -1.366501052690977E-004
  0.122558013300717       0.152792357530170       0.628361970046939     
  0.657903519906846       3.187519984328651E-003  2.078736181132977E-003
  2.415685231139915E-003 -6.003668708133113E-005
  0.161161505742799       0.203632833130366       0.632170577675422     
  0.550526801835484       2.222666535214398E-003  1.471977981706151E-003
  1.665036045189099E-003 -3.438482739971506E-005
  0.199811526690600       0.254437412776351       0.634018429170182     
  0.496300234371197       2.241752793879124E-003  1.500892117789163E-003
  1.665002193366194E-003 -2.336954661478567E-005
  0.238500855525652       0.305211651968466       0.634301504925727     
  0.466241310370987       2.461461057116000E-003  1.669124589614538E-003
  1.808972410124519E-003 -2.079565942699409E-005
  0.277222271629564       0.355961106207149       0.633415785336569     
  0.455830016987539       2.833905552834613E-003  1.963746740776352E-003
  2.043104107232081E-003 -2.109567463992802E-005
  0.315968554383923       0.406691330992810       0.631757250797217     
  0.452059459147147       2.997427417560788E-003  2.152573876231455E-003
  2.085853944769815E-003 -1.449662026892006E-005
  0.354732483170321       0.457407881825868       0.629721881702182     
  0.444132339629127       3.111838217823888E-003  2.327745720742921E-003
  2.065206899398615E-003 -7.577344437494825E-006
  0.393506837370340       0.508116314206728       0.627705658445973     
  0.425003831438901       3.229947496483900E-003  2.531542981091322E-003
  2.005953584972978E-003 -1.086215417862681E-006
  0.432284396365570       0.558822183635802       0.626104561423101     
  0.391751862507090       3.362472234025346E-003  2.783488539995035E-003
  1.886332304496847E-003  1.270863168596711E-005
  0.471060006260890       0.609529412331424       0.625233886879866     
  0.348195494170625       3.506351090250149E-003  3.051808669370430E-003
  1.726085857637478E-003  3.986760235815161E-005
  0.509836780054362       0.660235389383641       0.625086194469733     
  0.302476567145021       3.617965485736326E-003  3.257069834560423E-003
  1.572719929808200E-003  8.787702293495538E-005
  0.548619897467339       0.710935870600417       0.625573359697956     
  0.261376655167798       3.647819089036110E-003  3.334363843302410E-003
  1.470993108579222E-003  1.574202697439336E-004
  0.587414538221176       0.761626611789722       0.626607258069788     
  0.229242576093501       3.569258895420045E-003  3.252752496017598E-003
  1.450937186855746E-003  2.323608013102347E-004
  0.626225882037227       0.812303368759523       0.628099765090486     
  0.208213003415903       3.394097710123758E-003  3.024151963950488E-003
  1.514024473334955E-003  2.865904027432766E-004
  0.665059108636845       0.862961897317788       0.629962756265303     
  0.198196483176343       3.171600706116020E-003  2.701292425637644E-003
  1.634552913613520E-003  3.005113023263568E-004
  0.703919397741388       0.913597953272487       0.632108107099494     
  0.196916664252612       2.965512703075480E-003  2.364033037165575E-003
  1.769130573376366E-003  2.753005732590352E-004
  0.742811929072206       0.964207292431586       0.634447693098313     
  0.199868405438768       2.819672442403677E-003  2.098627643179533E-003
  1.868405623171584E-003  2.353191981845881E-004
  0.781741882350656        1.01478567060305       0.636893389767016     
  0.202327073209655       2.751251167959629E-003  1.990792468157278E-003
  1.886212307203711E-003  2.198441950125760E-004
  0.820714437298090        1.06532884359486       0.639357072610856     
  0.196062609348695       2.774304211605894E-003  2.129345807596864E-003
  1.757694787689455E-003  2.704798024496014E-004
  0.859734773635864        1.11583256721497       0.641750617135088     
  0.199739214553425       2.812146394281213E-003  2.256405968100393E-003
  1.649245535981093E-003  3.111086820328129E-004
  5.093966649358969E-003  0.000000000000000E+000  0.610738785421046     
   1.06485623749688       2.452877374045090E-004  1.332944610015202E-004
  1.090795509887130E-004 -1.746433862001031E-004
  4.341014318941055E-002  5.112799027711522E-002  0.619827376078065     
  0.909145786225623       1.618638146470797E-003  1.029178775675836E-003
  1.246546552017926E-003 -8.307942321072755E-005
  8.182266447608166E-002  0.102181345368107       0.626445864728456     
  0.796768278681442       2.417043927569573E-003  1.525277271576814E-003
  1.875000640933595E-003  1.785808149386208E-006
  0.120321548972833       0.153168873602723       0.630889046677083     
  0.666641187147570       2.949545013152452E-003  1.861436958117660E-003
  2.287907166960122E-003  1.868236972868189E-005
  0.158895157287014       0.204098711171296       0.633463998628674     
  0.562245594844040       3.171366102493367E-003  2.026769741727096E-003
  2.439151465161860E-003 -1.753567969014973E-005
  0.197534451556070       0.254978464908499       0.634482134043883     
  0.509992334293358       3.351374726309369E-003  2.207013018316868E-003
  2.521269123383762E-003 -6.330956165333392E-005
  0.236229118392271       0.305816263548258       0.634261923985543     
  0.480756513168141       3.497333889149752E-003  2.402230739080516E-003
  2.540424500869705E-003 -8.291660746149868E-005
  0.274968860491162       0.356620068306617       0.633125355747482     
  0.469669557133294       3.599606570325651E-003  2.606189285830773E-003
  2.481732046332879E-003 -7.714219180773494E-005
  0.313743436227038       0.407397745045162       0.631397946256707     
  0.463768330697785       3.713906809214546E-003  2.856841428015650E-003
  2.372291790741202E-003 -6.158329550757359E-005
  0.352542639395495       0.458157137787420       0.629408828722927     
  0.452571862497495       3.846279925919475E-003  3.148791590544126E-003
  2.208157098798033E-003 -5.498195047077766E-005
  0.391356101924711       0.508906036055722       0.627490827332260     
  0.429808724089044       3.983810169590788E-003  3.454005781865663E-003
  1.983970188221376E-003 -6.670695932504071E-005
  0.430173727066422       0.559652071637570       0.625980390773793     
  0.392644542583380       4.152605506511523E-003  3.776830587882302E-003
  1.724136704011146E-003 -8.387984876021637E-005
  0.468988053935025       0.610400754939045       0.625147877699862     
  0.344250423762892       4.337022757601733E-003  4.083258847215509E-003
  1.459608761370492E-003 -7.940938434541798E-005
  0.507802304829850       0.661149193322880       0.624987903957685     
  0.291881010369745       4.484517152542265E-003  4.313463745729708E-003
  1.226350572818779E-003 -3.144643490554386E-005
  0.546621903127966       0.711892704166022       0.625425169248213     
  0.241512820991467       4.546790262264535E-003  4.423276027351609E-003
  1.050680124104519E-003  6.326256153426516E-005
  0.585451519552675       0.762627078481384       0.626383521863224     
  0.197267148376428       4.506650620706850E-003  4.401889781296186E-003
  9.475054043699281E-004  1.884135853048604E-004
  0.624295633025945       0.813348339690654       0.627785947185301     
  0.161928849103304       4.366870200942624E-003  4.257807911046951E-003
  9.167577807822967E-004  3.165159014675025E-004
  0.663159249719948       0.864052375739660       0.629554762748466     
  0.136906484122727       4.155716662212402E-003  4.025127109213571E-003
  9.439232994498650E-004  4.211193845211411E-004
  0.702048348079632       0.914734627670398       0.631612083504795     
  0.121853643200239       3.921775800363708E-003  3.760504194330559E-003
  1.000086909902802E-003  4.886305407787627E-004
  0.740968878133365       0.965390594195371       0.633880144557592     
  0.114369201366161       3.726799444341434E-003  3.538369660927473E-003
  1.045986776044535E-003  5.242956277822435E-004
  0.779927044815211        1.01601562810618       0.636281689325625     
  0.111596318020167       3.633338176297091E-003  3.438184757071052E-003
  1.039454538836123E-003  5.473263571902294E-004
  0.818929136170616        1.06660499600650       0.638740276553045     
  0.107340480842600       3.697911959929161E-003  3.532585275178893E-003
  9.288163079026407E-004  5.767966740113071E-004
  0.857981179874042        1.11715411347362       0.641180505020965     
  0.113527873717732       3.728932374031501E-003  3.583969162587630E-003
  8.487421801647100E-004  5.828708290267966E-004
  3.627540899597592E-003  0.000000000000000E+000  0.617604871724632     
   1.06622634022384       1.918064886344174E-004  1.119142147671897E-004
  1.060555998019105E-004 -1.140927139039354E-004
  4.184330356818998E-002  5.125549865438622E-002  0.624773794965113     
  0.912697122006141       1.592755926333900E-003  9.843063734825440E-004
  1.252202561154958E-003 -1.072301433813749E-006
  8.018203991192059E-002  0.102415694562237       0.629879233777749     
  0.798489478964511       2.389270237615296E-003  1.448240398537103E-003
  1.897061710547887E-003  1.112154790147049E-004
  0.118630761698256       0.153492264094823       0.633163505292792     
  0.667898766620264       3.010396332139454E-003  1.794972694223395E-003
  2.411810080446280E-003  1.540494706540347E-004
  0.157173948741165       0.204495740190831       0.634885877432327     
  0.562090610436680       3.499082935335363E-003  2.056541410800216E-003
  2.827793220426767E-003  1.334328165310656E-004
  0.195799672468028       0.255435956134749       0.635309692619760     
  0.509226550861549       3.789637672615794E-003  2.238510894951013E-003
  3.057577114293766E-003  4.055678785938498E-005
  0.234494275409151       0.306323659620789       0.634707811106681     
  0.481924655348249       3.958450718193588E-003  2.440903053791752E-003
  3.115236934238436E-003 -8.138313040271718E-005
  0.273244460506482       0.357169221172248       0.633357277405957     
  0.475339676154334       4.032542987586053E-003  2.695777642653074E-003
  2.993500155501789E-003 -1.820512760516830E-004
  0.312037097996498       0.407982803247942       0.631539817334658     
  0.475838185995540       4.143529626331737E-003  3.053066324106516E-003
  2.789722357059247E-003 -2.550940129037692E-004
  0.350859096258026       0.458774517726629       0.629542049412088     
  0.471875084685901       4.296567258309871E-003  3.468878493828518E-003
  2.514461476614679E-003 -3.238142721609374E-004
  0.389697262189248       0.509554307799325       0.627655630586668     
  0.456000853975112       4.476468860969109E-003  3.892913938570110E-003
  2.172637493053974E-003 -4.045254675403992E-004
  0.428538762241579       0.560331865688399       0.626177110875635     
  0.424646707372835       4.714586055479695E-003  4.331341203218275E-003
  1.796903213070920E-003 -4.877949350727930E-004
  0.467373953826288       0.611114314866113       0.625345810649121     
  0.380156027758282       4.994791472143612E-003  4.758414573788009E-003
  1.419842938915349E-003 -5.380321765216672E-004
  0.506206094971121       0.661898709600015       0.625156499419007     
  0.328917157233078       5.253400340697248E-003  5.116111346304523E-003
  1.073424973769071E-003 -5.209401669491100E-004
  0.545040998022556       0.712680055666699       0.625541621001036     
  0.276476211179605       5.435254794002144E-003  5.362192484934722E-003
  7.788816718225612E-004 -4.268837916011489E-004
  0.583883116679486       0.763454192178345       0.626432676316982     
  0.227131116535218       5.518630839434785E-003  5.484307378534120E-003
  5.516816301902732E-004 -2.707513594194853E-004
  0.622736605552844       0.814217312430118       0.627760024934526     
  0.184476606305629       5.496427874478364E-003  5.481593428655700E-003
  3.951148890730121E-004 -8.207975812717910E-005
  0.661606185784851       0.864965522020420       0.629453063085551     
  0.151210339820545       5.387849109277892E-003  5.378257764037398E-003
  3.037472107757111E-004  1.048764981489725E-004
  0.700498056732402       0.915694250928352       0.631440814279546     
  0.128623838863562       5.231451082763426E-003  5.218541162954404E-003
  2.573888698958405E-004  2.620296386878091E-004
  0.739418504233971       0.966398956202613       0.633652637044733     
  0.115939146745649       5.084230330110948E-003  5.065369742320200E-003
  2.266189714115008E-004  3.742609584280315E-004
  0.778374055281993        1.01707496395220       0.636018733698515     
  0.111720093056202       5.003321767701715E-003  4.980921700768308E-003
  1.792404095573772E-004  4.376306634079251E-004
  0.817371257195182        1.06771754558664       0.638470607841638     
  0.110783340577061       5.037470541060999E-003  5.016655806129857E-003
  8.106413799327751E-005  4.502250330805477E-004
  0.856415987174628        1.11832240131406       0.640941425683943     
  0.119560057331239       5.014305410237107E-003  4.995250914338796E-003
  1.649005116983844E-005  4.364116498708020E-004
  2.540509898887985E-003  0.000000000000000E+000  0.623224521703772     
   1.06973836838263       1.487118567027455E-004  9.182402074160445E-005
  1.044748678702683E-004 -5.261717896574550E-005
  4.066410218138115E-002  5.136249694366246E-002  0.628970370267846     
  0.915469679150065       1.592307807289548E-003  9.543325789718773E-004
  1.271287786383616E-003  9.230842897578683E-005
  7.893428787913248E-002  0.102612069883050       0.632937288587423     
  0.799150330543375       2.440056659023410E-003  1.424511795585518E-003
  1.966344410355892E-003  2.411064149796652E-004
  0.117335321317262       0.153762603099776       0.635334269013990     
  0.667607906581291       3.103136295709642E-003  1.755076033344594E-003
  2.536290658865859E-003  3.411637153622148E-004
  0.155848580490632       0.204826517349049       0.636389646665529     
  0.560655658957522       3.636043903556921E-003  1.970328141103596E-003
  3.030799235369978E-003  3.909965215311504E-004
  0.194458917098503       0.255815708026330       0.636334952586516     
  0.507470822263061       4.011264096935028E-003  2.096153424255989E-003
  3.402694141329222E-003  3.435885008315467E-004
  0.233149502918636       0.306743305546123       0.635411950798213     
  0.481414380404856       4.272677024696252E-003  2.244341677589507E-003
  3.630423584172841E-003  1.967841230474527E-004
  0.271904383429025       0.357621835963064       0.633866103824628     
  0.477908471208626       4.397077973422453E-003  2.479751297063912E-003
  3.631131011373804E-003 -3.973324326440040E-006
  0.310707782392718       0.408463551039282       0.631948054275738     
  0.483348903202899       4.483144933175572E-003  2.849111698194779E-003
  3.455272578096281E-003 -2.055296429309851E-004
  0.349544053298533       0.459280596365141       0.629913855327479     
  0.485840421576214       4.600160656545300E-003  3.320082585481624E-003
  3.159167721395742E-003 -3.977298074072092E-004
  0.388397461645447       0.510084870034389       0.628025169866234     
  0.477452948105626       4.756645575670647E-003  3.831885257660807E-003
  2.755202611038849E-003 -5.926137669626155E-004
  0.427252664309699       0.560887966151172       0.626549043695071     
  0.453938480086627       5.015993116457126E-003  4.391316754594280E-003
  2.291940889718450E-003 -7.896398313164217E-004
  0.466097979370471       0.611698535870359       0.625701411447767     
  0.416236382414163       5.372520343847616E-003  4.966735701905227E-003
  1.815067351790342E-003 -9.492322270873938E-004
  0.504936644645693       0.662513691871638       0.625476315652068     
  0.369479707183317       5.746446578016044E-003  5.488986494479067E-003
  1.358884459004134E-003 -1.022794487908380E-003
  0.543774851724179       0.713328220484648       0.625811221267640     
  0.318629139280203       6.064236062815466E-003  5.907734819274500E-003
  9.450953635607387E-004 -9.901631605242153E-004
  0.582617113484447       0.764137929329778       0.626642872689457     
  0.267888831092650       6.287731814000167E-003  6.199962235901265E-003
  5.955374734458038E-004 -8.610312165710429E-004
  0.621467401449902       0.814939127527069       0.627906869804307     
  0.221284065841781       6.394691512967986E-003  6.351959399040420E-003
  3.190453617622119E-004 -6.655083741808683E-004
  0.660330253979330       0.865728068066073       0.629537715914970     
  0.182460437745403       6.394062726120792E-003  6.377431759151829E-003
  1.215810079962862E-004 -4.445451174216985E-004
  0.699211836340088       0.916500268035263       0.631469384672397     
  0.153942542014082       6.313270292137583E-003  6.308754570887532E-003
 -9.869380357102810E-006 -2.385375048582593E-004
  0.738118427036396       0.967251286757260       0.633636335538900     
  0.136561231873738       6.198554750841652E-003  6.197342876532063E-003
 -9.459726086278522E-005 -7.793348520479824E-005
  0.777056461753604        1.01797661869317       0.635974068991910     
  0.130281172167478       6.094783224714655E-003  6.092697294028292E-003
 -1.583064639684683E-004  1.900797383472042E-005
  0.816032290668904        1.06867177914489       0.638419644773381     
  0.131246156057268       6.042727916312489E-003  6.038181994161491E-003
 -2.305983671890623E-004  4.175247317191763E-005
  0.855051166602079        1.11933301826171       0.640912160586700     
  0.141597381365032       5.961449654156281E-003  5.955027034228563E-003
 -2.746431793824073E-004  3.325845254551247E-005
  1.727728538042300E-003  0.000000000000000E+000  0.628251455448599     
   1.06938242734274       1.295776645464688E-004  7.184009954075271E-005
  1.027990969506323E-004  3.258399781221516E-005
  3.976873998766139E-002  5.145103357259564E-002  0.632817111233217     
  0.914987699395893       1.600456236597132E-003  9.306818198714306E-004
  1.286283233950532E-003  2.019082897783523E-004
  7.797669594291244E-002  0.102774590855159       0.635829884558746     
  0.796342924074815       2.475785367582321E-003  1.398786283154731E-003
  2.004897654795030E-003  3.915297104822171E-004
  0.116333490405834       0.153986181535251       0.637473797505906     
  0.662724129768830       3.168042180612807E-003  1.713327931065723E-003
  2.604223770759796E-003  5.648160856257734E-004
  0.154818169916213       0.205099604914249       0.637953728301030     
  0.552337161215542       3.746180575201800E-003  1.888080962670841E-003
  3.152765630896809E-003  7.273843942889400E-004
  0.193412347404214       0.256128587705432       0.637477720164781     
  0.495326692809911       4.207342402860820E-003  1.935119706568511E-003
  3.644883625736099E-003  8.196738198830860E-004
  0.232096406598186       0.307088326688098       0.636263399087243     
  0.467224409781660       4.583670382565555E-003  1.958359118751612E-003
  4.069733818835921E-003  7.823876161048655E-004
  0.270852111485749       0.357993201271441       0.634530973980036     
  0.465717973193706       4.794916122239251E-003  2.066180387739185E-003
  4.286624515983686E-003  5.890411561168508E-004
  0.309661294333512       0.408857308296026       0.632506285332015     
  0.478143200693554       4.879323829355755E-003  2.363819098414625E-003
  4.258526758312609E-003  2.917364400013666E-004
  0.348506087871056       0.459694559144435       0.630420809538738     
  0.491624531576992       4.922520152846417E-003  2.842289470480023E-003
  4.018713831006201E-003 -5.034248361935884E-005
  0.387368535357232       0.510518560817711       0.628512009446778     
  0.496461277640792       4.984902327222204E-003  3.429373013856314E-003
  3.593382915118600E-003 -4.198227829848725E-004
  0.426230975719068       0.561342632001865       0.627023060883562     
  0.487054654932386       5.201027185367191E-003  4.118272144908556E-003
  3.072242468874757E-003 -8.073688969988781E-004
  0.465079884723863       0.612176806226432       0.626150763641205     
  0.462576101570471       5.593662637240014E-003  4.859106109491005E-003
  2.516242448533114E-003 -1.160462604379040E-003
  0.503918393032310       0.663018328090660       0.625888004845265     
  0.426479924829231       6.074459935776934E-003  5.573753180503962E-003
  1.959242770176886E-003 -1.411986813568271E-003
  0.542753071448938       0.713861803005831       0.626175723895120     
  0.383007213887356       6.541028716349017E-003  6.199846365791523E-003
  1.422331258681254E-003 -1.524445964690881E-003
  0.581588656396239       0.764702936824776       0.626954485437743     
  0.336167673250571       6.925211986096316E-003  6.696488454547239E-003
  9.402200922393863E-004 -1.493850597829978E-003
  0.620429134490303       0.815538038015897       0.628163838353846     
  0.290346055105935       7.184237733412401E-003  7.036696051603636E-003
  5.285245132953755E-004 -1.348644625680992E-003
  0.659278982868824       0.866363403831879       0.629742168226437     
